transaction_id,customer_id,merchant,amount,transaction_time,location,card_present,currency,is_fraud
tx0,cust0,Walmart,138.3343506103282,2023-01-01,New York,False,USD,0
tx1,cust1,Walmart,132.72771972266014,2023-01-02,Los Angeles,True,USD,0
tx2,cust2,Target,87.73886009346342,2023-01-03,New York,True,USD,0
tx3,cust3,Walmart,216.59871456369973,2023-01-04,Chicago,True,USD,0
tx4,cust4,Amazon,337.7852720918533,2023-01-05,New York,True,USD,1
tx5,cust5,Walmart,91.6676642940641,2023-01-06,Los Angeles,True,USD,0
tx6,cust6,Amazon,101.10189564849281,2023-01-07,New York,True,USD,0
tx7,cust7,Target,277.3410182244037,2023-01-08,Chicago,False,USD,0
tx8,cust8,Walmart,29.04469053231598,2023-01-09,Los Angeles,False,USD,0
tx9,cust9,Amazon,412.2703343867991,2023-01-10,Chicago,True,USD,0
tx10,cust10,Amazon,333.06450182532853,2023-01-11,Los Angeles,False,USD,0
tx11,cust11,Walmart,314.4153495117307,2023-01-12,Chicago,True,USD,0
tx12,cust12,Walmart,47.18543674669992,2023-01-13,Los Angeles,False,USD,0
tx13,cust13,Amazon,431.46551030795365,2023-01-14,Los Angeles,True,USD,0
tx14,cust14,Target,258.5635029005522,2023-01-15,Los Angeles,True,USD,0
tx15,cust15,Amazon,393.7083543354719,2023-01-16,Chicago,True,USD,0
tx16,cust16,Target,428.87370730944474,2023-01-17,Chicago,True,USD,0
tx17,cust17,Target,288.92138281415265,2023-01-18,Los Angeles,False,USD,0
tx18,cust18,Target,241.14077543179084,2023-01-19,Chicago,True,USD,0
tx19,cust19,Target,70.91263182094963,2023-01-20,Los Angeles,True,USD,0
tx20,cust20,Target,471.2778718292956,2023-01-21,New York,True,USD,0
tx21,cust21,Walmart,446.49100154567066,2023-01-22,Los Angeles,False,USD,0
tx22,cust22,Walmart,126.23695023621231,2023-01-23,New York,True,USD,0
tx23,cust23,Target,403.7478497073679,2023-01-24,Chicago,True,USD,0
tx24,cust24,Walmart,124.45846985042708,2023-01-25,Chicago,True,USD,0
tx25,cust25,Amazon,140.1670178481687,2023-01-26,Chicago,False,USD,0
tx26,cust26,Target,92.23286994782879,2023-01-27,Chicago,False,USD,0
tx27,cust27,Target,195.02000831217654,2023-01-28,Chicago,False,USD,0
tx28,cust28,Walmart,472.2049715006403,2023-01-29,Los Angeles,False,USD,0
tx29,cust29,Target,420.2690524002474,2023-01-30,New York,False,USD,0
tx30,cust30,Amazon,257.25379304711896,2023-01-31,New York,True,USD,0
tx31,cust31,Walmart,463.7008501914804,2023-02-01,New York,False,USD,0
tx32,cust32,Amazon,431.9089215009739,2023-02-02,Chicago,False,USD,0
tx33,cust33,Walmart,44.28211920862535,2023-02-03,Los Angeles,False,USD,0
tx34,cust34,Amazon,248.50622447122896,2023-02-04,Chicago,True,USD,0
tx35,cust35,Target,182.89472555132346,2023-02-05,Los Angeles,True,USD,0
tx36,cust36,Target,218.15811579825726,2023-02-06,New York,False,USD,0
tx37,cust37,Amazon,469.02186355777206,2023-02-07,Chicago,True,USD,0
tx38,cust38,Target,249.26047747641067,2023-02-08,Chicago,False,USD,0
tx39,cust39,Amazon,133.9901871931897,2023-02-09,New York,False,USD,0
tx40,cust40,Amazon,131.3560971395033,2023-02-10,Chicago,True,USD,1
tx41,cust41,Walmart,452.3438641681963,2023-02-11,New York,False,USD,0
tx42,cust42,Target,97.52090638298611,2023-02-12,Chicago,False,USD,0
tx43,cust43,Target,434.5232641499967,2023-02-13,New York,False,USD,0
tx44,cust44,Walmart,96.11516004371038,2023-02-14,Chicago,True,USD,0
tx45,cust45,Walmart,60.644774121584355,2023-02-15,New York,False,USD,0
tx46,cust46,Amazon,298.1724493094785,2023-02-16,Los Angeles,True,USD,0
tx47,cust47,Walmart,211.17332856618472,2023-02-17,Chicago,True,USD,0
tx48,cust48,Walmart,51.53357997622168,2023-02-18,Los Angeles,True,USD,0
tx49,cust49,Target,296.8344054358649,2023-02-19,New York,False,USD,0
tx50,cust50,Walmart,22.029759521971638,2023-02-20,Los Angeles,False,USD,0
tx51,cust51,Amazon,52.16246764817951,2023-02-21,Los Angeles,True,USD,0
tx52,cust52,Walmart,210.53428812806925,2023-02-22,Chicago,True,USD,0
tx53,cust53,Amazon,441.9449920265455,2023-02-23,New York,True,USD,1
tx54,cust54,Amazon,351.61363450238497,2023-02-24,Los Angeles,True,USD,0
tx55,cust55,Amazon,18.352042980071353,2023-02-25,Los Angeles,True,USD,0
tx56,cust56,Amazon,472.3538565969036,2023-02-26,Chicago,True,USD,0
tx57,cust57,Target,469.2546763751728,2023-02-27,Los Angeles,False,USD,0
tx58,cust58,Target,365.86548005603674,2023-02-28,Los Angeles,False,USD,0
tx59,cust59,Walmart,482.18924448308695,2023-03-01,New York,False,USD,0
tx60,cust60,Walmart,402.40412996717987,2023-03-02,Los Angeles,True,USD,0
tx61,cust61,Target,186.2011959746954,2023-03-03,Chicago,True,USD,0
tx62,cust62,Target,461.52802265775244,2023-03-04,Los Angeles,True,USD,0
tx63,cust63,Walmart,384.108842214687,2023-03-05,New York,False,USD,1
tx64,cust64,Target,411.4309314647659,2023-03-06,Los Angeles,True,USD,1
tx65,cust65,Walmart,11.192782921798834,2023-03-07,New York,False,USD,0
tx66,cust66,Amazon,439.2166962905981,2023-03-08,Los Angeles,True,USD,0
tx67,cust67,Amazon,345.13306531164045,2023-03-09,Chicago,True,USD,0
tx68,cust68,Amazon,92.08827630212906,2023-03-10,Chicago,False,USD,0
tx69,cust69,Amazon,356.1699433204546,2023-03-11,New York,True,USD,0
tx70,cust70,Amazon,255.7110470277814,2023-03-12,New York,True,USD,0
tx71,cust71,Amazon,451.3645866535324,2023-03-13,Los Angeles,False,USD,0
tx72,cust72,Amazon,211.77414512712272,2023-03-14,Los Angeles,False,USD,0
tx73,cust73,Walmart,110.3307140810339,2023-03-15,Chicago,True,USD,0
tx74,cust74,Amazon,278.24054209500207,2023-03-16,New York,False,USD,0
tx75,cust75,Amazon,427.2575889550939,2023-03-17,Chicago,False,USD,0
tx76,cust76,Walmart,134.57087423420023,2023-03-18,Los Angeles,True,USD,0
tx77,cust77,Walmart,247.2003345452706,2023-03-19,New York,True,USD,0
tx78,cust78,Amazon,138.91693841606528,2023-03-20,Los Angeles,False,USD,0
tx79,cust79,Walmart,31.717377387002262,2023-03-21,New York,True,USD,0
tx80,cust80,Walmart,447.95150780150044,2023-03-22,Los Angeles,False,USD,0
tx81,cust81,Walmart,353.40369235729776,2023-03-23,Los Angeles,False,USD,0
tx82,cust82,Target,113.33348032749159,2023-03-24,New York,True,USD,0
tx83,cust83,Amazon,457.43395269299964,2023-03-25,Chicago,False,USD,0
tx84,cust84,Walmart,47.528668928106384,2023-03-26,Chicago,True,USD,0
tx85,cust85,Target,449.0307238743434,2023-03-27,New York,False,USD,0
tx86,cust86,Walmart,398.2917660861339,2023-03-28,Chicago,True,USD,0
tx87,cust87,Walmart,188.41489858606005,2023-03-29,Los Angeles,False,USD,0
tx88,cust88,Walmart,352.7168551613473,2023-03-30,New York,False,USD,0
tx89,cust89,Amazon,88.3404590656647,2023-03-31,Chicago,False,USD,0
tx90,cust90,Amazon,291.44658579335646,2023-04-01,Chicago,False,USD,0
tx91,cust91,Amazon,352.41967804421216,2023-04-02,Chicago,True,USD,0
tx92,cust92,Target,66.87705567934972,2023-04-03,Chicago,True,USD,0
tx93,cust93,Target,179.1698144718168,2023-04-04,Chicago,False,USD,0
tx94,cust94,Amazon,440.3162967933123,2023-04-05,New York,False,USD,0
tx95,cust95,Amazon,104.25967696834621,2023-04-06,Los Angeles,True,USD,0
