location,transaction_count,total_amount,fraud_count
North Robertstad,1,1413.86,0
North Danielberg,1,110.39,0
Port Evanside,1,139.59,1
North Maria,5,71.50,0
South Edwardland,1,43.96,1
Richardsberg,3,22644.11,2
Port Scottview,1,2209.30,0
East Dawn,1,71.75,0
South Robertchester,2,988.94,0
Lake Ericville,1,143.66,0
Littleton,1,3140.47,0
North Andrew,1,52.52,0
North Levimouth,2,130.56,0
Paulville,2,559.06,0
Dominguezland,1,54.91,1
West Margaretland,1,341.97,1
Tommyborough,1,32.81,1
East Derekfurt,4,1592.84,0
Henryport,1,63.48,0
Lake Robinhaven,1,38.60,1
Brandimouth,1,1042.30,0
East Antoniofurt,1,172.40,0
Kingville,1,22.90,1
South Taylor,3,1087.25,0
New Allen,1,12.39,1
Timothychester,1,6410.62,1
East Jon,1,448.55,0
Aprilport,1,364.21,0
Andreaville,4,8220.58,1
Jennifershire,2,2488.04,0
New Taylorburgh,1,28.18,0
Sparkschester,3,116.33,0
Port John,12,20702.53,0
New Jasonborough,1,1303.34,0
Alishaberg,2,180.50,0
Parsonsberg,1,375.21,0
Gregoryfort,2,950.89,0
East Brandymouth,2,583.78,0
Lake Joseph,1,43.76,0
Darrelltown,2,86.47,0
North Mariaberg,1,87.68,0
Tabithatown,3,52.27,1
Lihaven,1,7400.78,1
South Gregoryville,5,634.33,0
North Carmenside,1,94.27,0
Obrienville,1,1903.97,1
East Ashleefort,1,89.29,0
Bennettfort,1,1926.92,1
Huynhmouth,1,95.83,0
Ellisside,2,155.62,0
Gonzalezberg,1,39.01,0
Port Nathanview,1,288.69,0
Michaelmouth,5,6526.24,0
Carrbury,1,52.75,0
New Maria,1,2121.53,0
Karentown,1,73.96,0
North Tracy,2,163.88,0
North Russellborough,1,173.65,0
South Carolyn,1,9.50,0
Lake Cherylborough,1,97.87,1
Jacobstad,3,618.92,0
Lake Jenna,1,44.88,1
Tinamouth,1,150.27,0
Evansberg,3,1514.39,0
New Meagan,1,65.42,0
Kathrynborough,4,1552.26,0
Port Shellyborough,1,78.59,0
Josephland,1,2852.15,0
Harrisfurt,1,2519.31,0
Williamsfort,4,241.36,0
Johnville,1,308.03,0
Richardville,1,976.06,0
Edwardsborough,1,70.60,1
East Matthewside,4,1843.25,0
Carlsonberg,2,814.63,0
North Hunter,1,88.57,0
North Teresa,1,57.91,1
Lake Richard,2,93.71,0
North Randy,1,403.22,0
New Tiffany,1,35.65,0
East Ricky,1,43.90,0
Davidfurt,3,554.41,0
Virginiaport,1,59.32,1
North Carolynview,2,1442.30,0
Sarafurt,1,2214.63,0
Lake Brandonshire,3,583.06,0
Port Robertton,1,421.41,1
North Billy,2,3931.30,0
Stuartchester,5,1768.23,0
Gomezville,1,1070.18,0
Hollowayside,3,5671.20,0
South Mitchell,2,33.04,0
Kellyfurt,2,425.77,0
South Laura,3,1961.24,0
South Rebecca,2,2187.90,0
East Jamesfort,2,201.65,0
New Angelaview,1,91.65,1
Martinville,3,874.64,1
New Steveborough,1,193.20,0
West Jacobhaven,1,85.00,1
East Gavinfurt,2,102.23,0
Gomezbury,1,1578.36,1
Stephanieberg,7,1587.06,0
Lake Randy,1,133.83,0
Mcgeechester,1,84.42,0
Perezport,1,11.83,1
Williamsonton,1,191.58,0
South Heatherstad,3,1015.16,3
